rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
82,https://www.inc.com/profile/dynamic-logistix,Dynamic Logistix,dynamiclogistix.com,KS,54400000,3839.842,Logistics & Transportation,50,4,2015,1,"Kansas City, MO-KS",Overland Park,54
83,https://www.inc.com/profile/asset-panda,Asset Panda,http://assetpanda.com,TX,5100000,3778.5391,Software,50,15,2012,2,Dallas,Frisco,65
83,https://www.inc.com/profile/seabay-building-group,SeaBay Building Group,seabay-group.com,CA,25800000,3775.1386,Construction,25,3,2013,1,San Francisco,Hayward,28
84,https://www.inc.com/profile/blue-fire-leads,Blue Fire Leads,http://bluefireleads.com/home,UT,9000000,3727.5346,Advertising & Marketing,13,10,2014,2,"Provo-Orem, UT",Provo,23
85,https://www.inc.com/profile/loanatik,Loanatik,loanatik.com,AZ,9000000,3692.351,Financial Services,19,3,2015,1,Phoenix,Phoenix,22
86,https://www.inc.com/profile/supportninja,SupportNinja,http://supportninja.com,TX,4500000,3683.6824,Business Products & Services,463,22,2015,1,Austin,Austin,485
87,https://www.inc.com/profile/grove-collaborative,Grove Collaborative,http://grove.co,CA,104100000,3665.0612,Consumer Products & Services,1200,30,2012,2,San Francisco,San Francisco,1230
88,https://www.inc.com/profile/cisoshare,Cisoshare,http://cisoshare.com,CA,3900000,3623.0563,Security,25,3,2015,1,Los Angeles,San Juan Capistrano,28
89,https://www.inc.com/profile/digitalonus,DigitalOnUS,digitalonus.com,CA,10400000,3534.7663,IT System Development,178,11,2015,2,San Jose,San Jose,189
90,https://www.inc.com/profile/gforce-life-sciences,GForce Life Sciences,gforcelifesciences.com,IL,14400000,3531.5913,Human Resources,49,4,2013,2,Chicago,Chicago,53
91,https://www.inc.com/profile/capitol-bridge,Capitol Bridge,capitolbridgellc.com,VA,6400000,3469.3889,Government Services,35,5,2012,2,"Washington, DC",Arlington,40
92,https://www.inc.com/profile/kentucky-counseling-center,Kentucky Counseling Center,kentuckycounselingcenter.com,KY,4900000,3417.6308,Health,19,1,2014,1,"Louisville/Jefferson County, KY-IN",LOUISVILLE,20
93,https://www.inc.com/profile/shefit,Shefit,shefit.com,MI,6600000,3399.5282,Retail,25,3,2013,2,Unknown,Hudsonville,28
94,https://www.inc.com/profile/us-mobile,US Mobile,usmobile.com,NY,7300000,3387.6552,Telecommunications,65,7,2014,1,New York City,White Plains,72
95,https://www.inc.com/profile/feedonomics,Feedonomics,feedonomics.com,CA,7400000,3371.028,Advertising & Marketing,85,1,2014,1,Los Angeles,Woodland Hills,86
96,https://www.inc.com/profile/amenity-health,Amenity Health,amenityhealth.com,CA,15300000,3357.7038,Health,16,8,2011,1,San Diego,San Diego,24
97,https://www.inc.com/profile/payability,Payability,http://payability.com,NY,13700000,3350.0091,Financial Services,54,10,2014,1,New York City,New York,64
98,https://www.inc.com/profile/eagle-transport-and-logistics,Eagle Transport and Logistics,theeagletransport.com,OH,4800000,3339.6237,Logistics & Transportation,35,1,2014,1,"Columbus, OH",Columbus,36
99,https://www.inc.com/profile/shipbob,ShipBob,shipbob.com,IL,34200000,3325.7138,Logistics & Transportation,450,25,2014,1,Chicago,Chicago,475
100,https://www.inc.com/profile/powerhome-solar,Powerhome Solar,http://powerhome.com,NC,102900000,3307.1657,Construction,585,15,2015,2,Unknown,Mooresville,600
101,https://www.inc.com/profile/lendingone,LendingOne,lendingone.com,FL,13900000,3279.2231,Financial Services,50,18,2014,1,Miami,Boca Raton,68
102,https://www.inc.com/profile/ownbackup,OwnBackup,ownbackup.com,NJ,9000000,3244.549,Software,86,4,2015,1,New York City,Fort Lee,90
103,https://www.inc.com/profile/invictus-international-consulting,Invictus International Consulting,http://invictusic.com,VA,33000000,3215.1141,Government Services,151,24,2014,1,"Washington, DC",Alexandria,175
104,https://www.inc.com/profile/go-energistics,Go Energistics,goenergistics.com,TX,14400000,3210.2557,Construction,46,1,2011,1,Dallas,Colleyville,47
105,https://www.inc.com/profile/total-expert,Total Expert,totalexpert.com,MN,11100000,3205.607,Software,180,12,2014,2,Minneapolis,Minneapolis,192
106,https://www.inc.com/profile/buzzybooth,BuzzyBooth,http://buzzybooth.com,CA,3500000,3201.1488,Business Products & Services,18,3,2015,1,Los Angeles,Santa Monica,21
107,https://www.inc.com/profile/carolin-soldo-coaching-events,Carolin Soldo Coaching & Events,http://carolinsoldo.com,NY,3900000,3178.6799,Business Products & Services,1,1,2015,1,Unknown,Hamburg,2
108,https://www.inc.com/profile/cognira,Cognira,http://cognira.com,GA,7600000,3135.6529,Software,50,8,2015,1,Atlanta,Atlanta,58
109,https://www.inc.com/profile/b3-group,B3 Group,b3groupinc.com,VA,59300000,3134.4692,Government Services,145,17,2008,3,"Washington, DC",Herndon,162
110,https://www.inc.com/profile/inspiranza-designs,Inspiranza Designs,inspiranzadesigns.com,IL,4700000,3099.3348,Retail,10,2,2005,2,"St. Louis, MO-IL",Columbia,12
111,https://www.inc.com/profile/onesourcepcs,OnesourcePCS,onesourcepcs.com,FL,7800000,3051.3322,Government Services,52,12,2002,1,Unknown,PENSACOLA,64
112,https://www.inc.com/profile/cience-technologies,Cience Technologies,http://cience.com,CA,3800000,3050.0025,Advertising & Marketing,310,30,2015,1,San Diego,Solana Beach,340
113,https://www.inc.com/profile/austin-cryo-ventures,Austin Cryo Ventures,http://restorecryotherapy.com,TX,5100000,3031.4203,Health,15,2,2015,1,Austin,Austin,17
114,https://www.inc.com/profile/sweet-lorens,Sweet Loren's,http://sweetlorens.com,NY,6400000,3026.3532,Food & Beverage,5,3,2010,1,New York City,New York,8
115,https://www.inc.com/profile/copper,Copper,http://copper.com,CA,19000000,3023.1328,Software,191,46,2013,1,San Francisco,San Francisco,237
116,https://www.inc.com/profile/5-star-roofing-and-restoration,5 Star Roofing and Restoration,5starroofer.com,AL,3300000,2994.2888,Construction,40,1,2015,1,"Birmingham, AL",Birmingham,41
117,https://www.inc.com/profile/digitalcrafts,DigitalCrafts,http://digitalcrafts.com,GA,3100000,2957.353,Education,30,3,2015,1,Atlanta,Atlanta,33
118,https://www.inc.com/profile/loadup-technologies,LoadUp Technologies,http://goloadup.com,GA,3700000,2938.5449,Logistics & Transportation,15,1,2014,1,Atlanta,Atlanta,16
119,https://www.inc.com/profile/skillset-group,SkillSet Group,skillsetgroup.com,CA,23600000,2911.1746,Human Resources,740,5,2013,2,Los Angeles,Santa Ana,745
120,https://www.inc.com/profile/ally-logistics,Ally Logistics,allylogistics.com,MI,25800000,2872.1059,Logistics & Transportation,37,12,2012,1,Unknown,Grand Rapids,49
121,https://www.inc.com/profile/bamfi,BAMFi,bamfi.com,GA,12300000,2861.2369,Financial Services,66,12,2012,1,Atlanta,Atlanta,78
122,https://www.inc.com/profile/potoo,Potoo,potoosolutions.com,CT,6600000,2812.6796,Business Products & Services,60,15,2014,1,"Bridgeport-Stamford-Norwalk, CT",Norwalk,75
123,https://www.inc.com/profile/parsons-xtreme-golf,Parsons Xtreme Golf,pxg.com,AZ,79000000,2804.9504,Consumer Products & Services,196,32,2014,1,Phoenix,Scottsdale,228
124,https://www.inc.com/profile/onfleet,Onfleet,http://onfleet.com,CA,3500000,2795.4057,Logistics & Transportation,19,7,2012,1,San Francisco,San Francisco,26
125,https://www.inc.com/profile/patientpop,PatientPop,http://patientpop.com,CA,38800000,2781.5682,Health,375,75,2014,1,Los Angeles,Santa Monica,450
126,https://www.inc.com/profile/gravity-resources,Gravity IT Resources,http://gravityitresources.com,FL,4700000,2773.5884,Business Products & Services,25,5,2015,1,Miami,Fort Lauderdale,30
127,https://www.inc.com/profile/medlab-international,MedLab International,medlabgear.com,OH,3200000,2742.6432,Health,8,1,2015,1,Unknown,Cortland,9
128,https://www.inc.com/profile/equity-help,Equity & Help,equityandhelp.com,FL,3200000,2729.3507,Business Products & Services,20,4,2014,1,Tampa,Clearwater,24
129,https://www.inc.com/profile/ridgeline-international,Ridgeline International,ridgelineintl.com,VA,30000000,2728.9886,Telecommunications,125,8,2015,1,"Washington, DC",Tysons Corner,133
130,https://www.inc.com/profile/china-metal-solutions,China Metal Solutions,chinametalsolutions.com,IL,3100000,2704.9665,Manufacturing,5,1,2015,1,Chicago,Chicago,6
131,https://www.inc.com/profile/bluesky-resource-solutions,BlueSky Resource Solutions,http://blueskyrs.com,GA,6700000,2696.6319,Business Products & Services,98,12,2013,1,Atlanta,Atlanta,110
132,https://www.inc.com/profile/centauri-health-solutions,Centauri Health Solutions,centaurihs.com,AZ,84800000,2694.3302,Health,941,51,2014,1,Phoenix,scottsdale,992
133,https://www.inc.com/profile/celltrade-ny,CellTrade NY,celltradeny.com,NY,12400000,2689.6148,Consumer Products & Services,11,2,2015,1,New York City,Hicksville,13
134,https://www.inc.com/profile/exabeam,Exabeam,exabeam.com,CA,38800000,2678.5391,Security,274,54,2013,2,San Francisco,San Mateo,328
135,https://www.inc.com/profile/kinsmen-group,Kinsmen Group,kinsmengroup.com,PA,4000000,2668.0059,Software,21,5,2015,1,Philadelphia,West Chester,26
136,https://www.inc.com/profile/owens-recovery-science,Owens Recovery Science,owensrecoveryscience.com,TX,5400000,2657.4127,Health,6,2,2015,1,"San Antonio, TX",San Antonio,8
137,https://www.inc.com/profile/winit,WinIt,http://appwinit.com,NY,6500000,2635.922,Consumer Products & Services,6,2,2014,1,New York City,New York,8
138,https://www.inc.com/profile/techolution,Techolution,techolution.com,NY,9800000,2633.9525,IT System Development,176,10,2014,1,New York City,New York,186
139,https://www.inc.com/profile/solvix-solutions,Solvix Solutions,http://solvixsolutions.com,NJ,20400000,2623.9495,Computer Hardware,10,2,2013,2,Philadelphia,Marlton,12
140,https://www.inc.com/profile/lovebug-probiotics,LoveBug Probiotics,http://lovebugprobiotics.com,NY,3100000,2620.7598,Consumer Products & Services,4,2,2015,1,New York City,New York,6
141,https://www.inc.com/profile/nationwide-pharmaceutical,Nationwide Pharmaceutical,nationwidepharmaceutical.com,TX,7100000,2618.0195,Government Services,12,3,2014,1,"San Antonio, TX",San Antonio,15
142,https://www.inc.com/profile/freedom-forever,Freedom Forever,http://freedomforever.com,CA,101100000,2603.3871,Energy,358,84,2013,2,"Inland Empire, CA",Temecula,442
143,https://www.inc.com/profile/alpha-omega-integration,Alpha Omega Integration,alphaomegaintegration.com,VA,25100000,2596.3186,Government Services,145,1,2010,2,"Washington, DC",Vienna,146
144,https://www.inc.com/profile/arsenal-strength,Arsenal Strength,http://myarsenalstrength.com,TN,4700000,2578.6272,Business Products & Services,4,2,2014,1,Unknown,Knoxville,6
145,https://www.inc.com/profile/capital-brand-group,Capital Brand Group,http://capitalbrandgroup.com,MD,3500000,2564.3741,Construction,16,2,2013,1,"Washington, DC",Silver Spring,18
146,https://www.inc.com/profile/fedwriters,FedWriters,fedwriters.com,VA,5400000,2555.657,Government Services,57,1,2010,2,"Washington, DC",Fairfax,58
147,https://www.inc.com/profile/sethmar-transportation,Sethmar Transportation,sethmar.com,KS,9200000,2540.4145,Logistics & Transportation,18,1,1999,1,"Kansas City, MO-KS",Overland Park,19
148,https://www.inc.com/profile/hyperion-partners,Hyperion Partners,hyperionpartners.net,NV,18500000,2525.5636,Telecommunications,36,3,2012,2,"Las Vegas, NV",Las Vegas,39
