rank,profile,name,url,state,revenue,growth_%,industry,workers,previous_workers,founded,yrs_on_list,metro,city,total_workers
1320,https://www.inc.com/profile/the-idea-box---powered-by-proforma,The Idea Box - Powered by Proforma,sms-theideabox.com,FL,3100000,311.3495,Business Products & Services,8,2,2013,2,Miami,Ft. Lauderdale,10
1321,https://www.inc.com/profile/sei-dallas,SEI-Dallas,sei.com/dallas-office,TX,3100000,311.3486,Business Products & Services,12,4,2008,2,Dallas,Dallas,16
1322,https://www.inc.com/profile/under30experiences,Under30Experiences,under30experiences.com,TX,2900000,311.2953,Travel & Hospitality,12,2,2012,2,Austin,Austin,14
1323,https://www.inc.com/profile/calyx,Calyx,calyxit.com,OH,3300000,311.0938,IT Management,22,6,2004,1,Cleveland,Westlake,28
1324,https://www.inc.com/profile/mobile-posse,Mobile Posse,mobileposse.com,VA,58300000,310.8667,Advertising & Marketing,57,24,2005,2,"Washington, DC",Arlington,81
1325,https://www.inc.com/profile/intelligent-waves,Intelligent Waves,intelligentwaves.com,VA,38900000,310.6392,IT System Development,191,48,2006,1,"Washington, DC",Reston,239
1326,https://www.inc.com/profile/kpg-healthcare,KPG Healthcare,kpghealthcare.com,CA,28800000,310.5459,Health,380,150,2012,4,Los Angeles,El Segundo,530
1327,https://www.inc.com/profile/jeff-shipley-enterprises,Jeff Shipley Enterprises,facebook.com/jsefamily,ND,22300000,310.5448,Real Estate,33,10,2006,1,Unknown,Fargo,43
1328,https://www.inc.com/profile/verified-first,Verified First,http://verifiedfirst.com,ID,13100000,310.5055,Human Resources,108,44,2013,4,"Boise City-Nampa, ID",Meridian,152
1329,https://www.inc.com/profile/macstadium,MacStadium,macstadium.com,GA,24200000,310.4017,IT System Development,66,12,2012,4,Atlanta,Atlanta,78
1330,https://www.inc.com/profile/yapta,Yapta,yapta.com,WA,13000000,310.1178,Travel & Hospitality,60,30,2007,2,Seattle,Seattle,90
1331,https://www.inc.com/profile/the-jenny-maraghy-team,The Jenny Maraghy Team,jennymaraghyteam.com,VA,2500000,309.9722,Real Estate,25,5,2011,1,"Richmond, VA",Richmond,30
1332,https://www.inc.com/profile/proforma-think-ink,Proforma Think Ink,proforma.com/russ,FL,2500000,309.6931,Business Products & Services,6,4,1993,1,Tampa,Apollo Beach,10
1333,https://www.inc.com/profile/circustrix,CircusTrix,circustrix.com,UT,194100000,309.4015,Advertising & Marketing,14730,991,2011,3,"Provo-Orem, UT",Provo,15721
1334,https://www.inc.com/profile/washington-capital-partners,Washington Capital Partners,washingtoncapitalpartners.com,VA,15600000,309.3092,Financial Services,28,6,2012,2,"Washington, DC",Falls Church,34
1335,https://www.inc.com/profile/waste-away-systems,Waste Away Systems,wasteawaysystems.com,OH,5200000,309.0144,Logistics & Transportation,19,9,2012,2,"Columbus, OH",Heath,28
1336,https://www.inc.com/profile/audley-travel,Audley Travel,audleytravel.com/us,MA,99700000,308.9261,Travel & Hospitality,216,65,2013,2,Boston,Boston,281
1337,https://www.inc.com/profile/your-home-sold-guaranteed-realty,Your Home Sold Guaranteed Realty,yourhomesoldguaranteedinc.com,CA,8400000,308.667,Real Estate,12,5,2007,1,Los Angeles,ROSEMEAD,17
1338,https://www.inc.com/profile/a-lign,A-Lign,http://a-lign.com,FL,31500000,308.6399,Business Products & Services,200,40,2009,3,Tampa,Tampa,240
1339,https://www.inc.com/profile/taimen-transport,Taimen Transport,taimentransport.com,TN,35600000,308.4684,Logistics & Transportation,17,8,2012,1,Unknown,Chattanooga,25
1340,https://www.inc.com/profile/calldrip,Calldrip,calldrip.com,UT,4100000,308.3387,Software,50,7,2005,1,"Ogden-Clearfield, UT",Farmington,57
1341,https://www.inc.com/profile/triton-commerce,Triton Commerce,tritoncommerce.com,MN,2700000,308.0838,Advertising & Marketing,22,8,2012,2,Minneapolis,Minneapolis,30
1341,https://www.inc.com/profile/eassist-dental-solutions,eAssist Dental Solutions,http://dentalbilling.com,UT,16800000,308.0733,Health,53,1,2012,4,"Ogden-Clearfield, UT",Syracuse,54
1342,https://www.inc.com/profile/big-leap,Big Leap,bigleap.com,UT,8200000,307.5541,Advertising & Marketing,63,30,2008,4,"Provo-Orem, UT",Lehi,93
1343,https://www.inc.com/profile/housing-trust-group,Housing Trust Group,htgf.com,FL,24000000,307.505,Real Estate,101,36,1997,2,Miami,Coconut Grove,137
1344,https://www.inc.com/profile/suite-experience-group,Suite Experience Group,suiteexperiencegroup.com,CA,10600000,307.4624,Travel & Hospitality,4,3,2010,2,San Francisco,San Mateo,7
1345,https://www.inc.com/profile/wheelhouse-it,WheelHouse IT,wheelhouseit.com,FL,8800000,307.1926,IT Management,61,10,2002,3,Miami,Fort Lauderdale,71
1346,https://www.inc.com/profile/cap-venture-group,CAP Venture Group,lstproperties.com,KY,3800000,306.9099,Real Estate,7,1,2013,1,"Louisville/Jefferson County, KY-IN",Louisville,8
1347,https://www.inc.com/profile/tokenex,TokenEx,tokenex.com,OK,4700000,306.4106,Software,24,4,2010,2,"Oklahoma City, OK",EDMOND,28
1348,https://www.inc.com/profile/asb-resources,ASB Resources,asbresources.com,NJ,9700000,306.2176,IT Management,80,20,2004,4,Unknown,Princeton,100
1349,https://www.inc.com/profile/old-dominion-mechanical,Old Dominion Mechanical,odmva.com,VA,4400000,306.1344,Construction,31,6,2013,2,"Richmond, VA",Richmond,37
1350,https://www.inc.com/profile/managed-energy-systems,Managed Energy Systems,energymes.com,KS,2300000,306.0336,Energy,8,3,2013,1,"Kansas City, MO-KS",Leawood,11
1351,https://www.inc.com/profile/trinity3-technology,Trinity3 Technology,trinity3.com,MN,69800000,305.9686,Computer Hardware,86,34,2014,1,Minneapolis,Saint Paul,120
1352,https://www.inc.com/profile/kureiji,Kureiji,threadtank.com,CA,2800000,305.9316,Retail,16,5,2014,1,Los Angeles,South El Monte,21
1353,https://www.inc.com/profile/wellex,Wellex,samedaystdtesting.com,MO,3200000,305.5026,Health,8,4,2015,1,"St. Louis, MO-IL",St. Louis,12
1354,https://www.inc.com/profile/connoils,Connoils,connoils.com,WI,21300000,305.4273,Food & Beverage,25,10,2007,1,Milwaukee,Waukesha,35
1355,https://www.inc.com/profile/advantage-media-group,Advantage Media Group,advantagefamily.com,SC,23600000,305.3267,Media,117,23,2005,7,"Charleston, SC",Charleston,140
1356,https://www.inc.com/profile/dmd-products,DMD Products,lovehandle.com,TX,3800000,305.2533,Consumer Products & Services,32,3,2014,1,Houston,Rosharon,35
1357,https://www.inc.com/profile/triplemint,Triplemint,triplemint.com,NY,10300000,305.2056,Real Estate,112,57,2011,2,New York City,New York,169
1358,https://www.inc.com/profile/matrix-4,Matrix 4,matrix4.com,IL,9900000,305.125,Manufacturing,28,27,1976,3,Chicago,Woodstock,55
1359,https://www.inc.com/profile/vantage-point-logistics,Vantage Point Logistics,vantagepointlogistics.com,OH,20000000,305.1186,Logistics & Transportation,46,11,2011,3,"Columbus, OH",Columbus,57
1360,https://www.inc.com/profile/telco-connection,Telco Connection,telcoconnection.com,CA,3500000,304.614,Telecommunications,2,1,2013,1,Los Angeles,Coto de Caza,3
1361,https://www.inc.com/profile/binary-defense,Binary Defense,binarydefense.com,OH,8100000,303.8537,Security,64,21,2014,1,Unknown,Stow,85
1362,https://www.inc.com/profile/pinnacle-dermatology,Pinnacle Dermatology,pinnacleskin.com,IL,35900000,303.3924,Health,330,60,2004,2,Chicago,Lombard,390
1363,https://www.inc.com/profile/tista-science-and-technology,TISTA Science and Technology,tistatech.com,MD,130700000,303.3579,Government Services,485,112,2005,9,"Washington, DC",Rockville,597
1364,https://www.inc.com/profile/schweiger-dermatology-group,Schweiger Dermatology Group,schweigerderm.com,NY,94400000,302.6845,Health,750,210,2010,3,New York City,Long Island City,960
1365,https://www.inc.com/profile/10th-magnitude,10th Magnitude,10thmagnitude.com,IL,18100000,302.359,IT Management,80,25,2010,4,Chicago,Chicago,105
1366,https://www.inc.com/profile/rankingsio,Rankings.io,rankings.io,IL,3100000,301.9811,Advertising & Marketing,16,5,2013,2,"St. Louis, MO-IL",O'Fallon,21
1367,https://www.inc.com/profile/complete-recovery-corp,Complete Recovery Corp,completerecoverycorp.com,UT,7500000,301.7969,Consumer Products & Services,103,38,2003,3,Salt Lake City,Taylorsville,141
1368,https://www.inc.com/profile/aerospace-asset-trading,Aerospace Asset Trading,aerospaceasset.com,FL,36200000,301.7549,Business Products & Services,32,8,2013,2,Miami,Miami,40
1369,https://www.inc.com/profile/select-communications,Select Communications,http://selectcommunications.com,TX,2200000,301.415,Telecommunications,10,3,2014,1,Austin,Austin,13
1370,https://www.inc.com/profile/djb-hospitality-holding-cosedona-taphouse-restaurants,DJB Hospitality Holding Co/Sedona Taphouse Restaurants,sedonataphouse.com,VA,30100000,301.2717,Food & Beverage,825,300,2011,1,"Richmond, VA",Richmond,1125
1371,https://www.inc.com/profile/aya-healthcare,Aya Healthcare,http://ayahealthcare.com,CA,566000000,301.2226,Health,779,243,2001,1,San Diego,San Diego,1022
1372,https://www.inc.com/profile/novuhealth,NovuHealth,novu.com,MN,44400000,301.1784,Health,161,87,2011,2,Minneapolis,Minneapolis,248
1373,https://www.inc.com/profile/bookkeeper360,Bookkeeper360,bookkeeper360.com,NY,3000000,300.8732,Financial Services,35,15,2012,2,New York City,Woodbury,50
1374,https://www.inc.com/profile/guaba,Guaba,xo.agency,CA,2200000,300.8358,Advertising & Marketing,18,6,2014,1,Los Angeles,Los Angeles,24
1375,https://www.inc.com/profile/gasket-guy,Gasket Guy,gasketguy.com,GA,6100000,300.529,Construction,6,3,1994,2,Atlanta,Norcross,9
1376,https://www.inc.com/profile/industrial-security-integrators,Industrial Security Integrators,dodsecurity.com,VA,5700000,300.5084,Government Services,41,8,2010,2,"Washington, DC",Herndon,49
1377,https://www.inc.com/profile/advanced-care-partners,Advanced Care Partners,http://advancedcarepartners.com,GA,14800000,300.2955,Health,804,75,2010,1,Atlanta,Atlanta,879
1378,https://www.inc.com/profile/greentek-energy-systems,Greentek Energy Systems,greentekenergysystems.com,GA,17000000,300.186,Energy,27,18,2011,3,Atlanta,Atlanta,45
1379,https://www.inc.com/profile/advanced-technological-solutions,Advanced Technological Solutions,atsdelivered.com,AL,3600000,300.0359,IT System Development,31,6,2013,1,Unknown,Prattville,37
1380,https://www.inc.com/profile/lentech,Lentech,lentechinc.com,NM,13900000,299.8525,Government Services,90,13,2008,1,Unknown,ALBUQUERQUE,103
1381,https://www.inc.com/profile/triplepoint-environmental,Triplepoint Environmental,tpenv.com,IL,3300000,299.7893,Environmental Services,8,4,2014,1,Chicago,Oak Park,12
1382,https://www.inc.com/profile/tango-card,Tango Card,tangocard.com,WA,24500000,299.5471,Software,94,42,2009,4,Seattle,Seattle,136
1383,https://www.inc.com/profile/assure,Assure,assure.co,UT,11200000,299.3963,Financial Services,53,15,2014,1,Salt Lake City,Salt Lake City,68
1384,https://www.inc.com/profile/index-exchange,Index Exchange,indexexchange.com,NY,127400000,299.1636,Advertising & Marketing,433,172,2011,1,New York City,New York,605
1385,https://www.inc.com/profile/beddys,Beddy's,beddys.com,UT,6800000,299.1243,Consumer Products & Services,10,3,2014,2,Salt Lake City,West Jordan,13
1386,https://www.inc.com/profile/capital-wealth-advisors,Capital Wealth Advisors,capitalwealthadvisors.com,FL,7800000,298.8792,Financial Services,45,19,2004,3,Unknown,Naples,64
1387,https://www.inc.com/profile/purecars-automotive,PureCars Automotive,purecars.com,GA,156300000,298.4585,Advertising & Marketing,221,154,2007,6,Atlanta,Atlanta,375
1388,https://www.inc.com/profile/savilinx,SaviLinx,savilinx.com,ME,17000000,298.151,Business Products & Services,450,182,2013,3,Unknown,Brunswick,632
1389,https://www.inc.com/profile/closeriq,CloserIQ,closeriq.com,NY,2300000,298.0068,Business Products & Services,28,8,2014,1,New York City,New York,36
1390,https://www.inc.com/profile/kamind-it,Kamind IT,http://kamind.com,OR,2400000,297.2431,IT Management,9,4,2009,1,Unknown,Lake Oswego,13
1391,https://www.inc.com/profile/ascent-innovations,Ascent Innovations,ascent365.com,IL,3400000,296.8637,IT System Development,38,6,2009,1,Chicago,Schaumberg,44
1392,https://www.inc.com/profile/itprotv,ITProTV,itpro.tv,FL,9000000,296.8634,Education,68,20,2013,2,Unknown,Gainesville,88
1393,https://www.inc.com/profile/lynker-technologies,Lynker Technologies,lynker.com,VA,24700000,296.7052,Government Services,235,63,2007,4,"Washington, DC",Leesburg,298
1394,https://www.inc.com/profile/motifworks,Motifworks,motifworks.com,MD,4200000,296.4662,Software,105,40,2010,2,Baltimore,TOWSON,145
1395,https://www.inc.com/profile/symmetry-financial-group,Symmetry Financial Group,sfglife.com,NC,44000000,296.4375,Insurance,50,28,2009,4,"Asheville, NC",Swannnanoa,78
1396,https://www.inc.com/profile/zilker-technology,Zilker Technology,ztech.io,TX,24700000,296.2927,IT System Development,211,37,2014,1,Austin,Austin,248
1397,https://www.inc.com/profile/struxure-outdoor,StruXure Outdoor,struxure.com,GA,14600000,296.2014,Manufacturing,51,14,2011,1,Atlanta,Dahlonega,65
1398,https://www.inc.com/profile/tiger-analytics,Tiger Analytics,tigeranalytics.com,CA,13100000,296.0168,Software,250,80,2011,2,San Jose,Santa Clara,330
1399,https://www.inc.com/profile/brandywine-homes,Brandywine Homes,brandywine-homes.com,CA,129600000,295.6601,Real Estate,33,22,1994,1,Unknown,Irvine,55
1400,https://www.inc.com/profile/paragon-payroll,Paragon Payroll,paragonpayroll.com,TX,3800000,295.4346,Business Products & Services,17,10,2007,1,Dallas,Midlothian,27
1401,https://www.inc.com/profile/fluentstream-technologies,FluentStream Technologies,fluentstream.com,CO,6900000,294.5348,Telecommunications,41,19,2010,2,Denver,Denver,60
1402,https://www.inc.com/profile/youtech,Youtech,youtechagency.com,IL,5000000,294.0566,Advertising & Marketing,40,15,2012,1,Chicago,Naperville,55
1403,https://www.inc.com/profile/kentech,Kentech,http://ekentech.com,IL,5500000,293.8781,Security,45,33,2006,3,Chicago,Chicago,78
1404,https://www.inc.com/profile/pixability,Pixability,pixability.com,MA,38400000,293.3496,Advertising & Marketing,83,58,2008,5,Boston,Boston,141
1405,https://www.inc.com/profile/osprey-management,Osprey Management,contractosprey.com,GA,9100000,293.29,Construction,9,2,2001,1,Atlanta,Marietta,11
1406,https://www.inc.com/profile/medical-guardian,Medical Guardian,medicalguardian.com,PA,46400000,292.6735,Health,237,97,2005,7,Philadelphia,Philadelphia,334
1407,https://www.inc.com/profile/fastmore-logistics,Fastmore Logistics,fastmore.com,IL,60300000,292.5455,Logistics & Transportation,85,33,2005,3,Chicago,Elk Grove Village,118
1408,https://www.inc.com/profile/matt-curtis-real-estate,Matt Curtis Real Estate,mattcurtisrealestate.com,AL,5200000,292.5211,Real Estate,65,20,2009,3,"Huntsville, AL",Madison,85
1409,https://www.inc.com/profile/petwell-partners,PetWell Partners,petwellpartners.com,TX,34200000,292.3206,Health,442,143,2013,1,Houston,Houston,585
1410,https://www.inc.com/profile/ventech-solutions,Ventech Solutions,ventechsolutions.com,OH,143700000,292.2955,IT Management,425,150,2002,9,"Columbus, OH",Columbus,575
1411,https://www.inc.com/profile/unitas-global,Unitas Global,unitasglobal.com,CA,41300000,292.2309,IT Management,117,47,2011,3,Los Angeles,Los Angeles,164
1412,https://www.inc.com/profile/powerschool,PowerSchool,powerschool.com,CA,361100000,291.9727,Education,2000,400,1997,1,Unknown,Folsom,2400
1413,https://www.inc.com/profile/vantage-payments,Vantage Payments,vantagepayments.com,AZ,13900000,291.5537,Financial Services,9,5,2009,6,Phoenix,Scottsdale,14
1414,https://www.inc.com/profile/staffing-specifix,Staffing Specifix,staffingspecifix.com,FL,7800000,291.3012,Human Resources,367,271,2011,3,Miami,Miami,638
1415,https://www.inc.com/profile/restoration-1,Restoration 1,restoration1.com,TX,7400000,291.2758,Construction,18,4,2008,1,Unknown,Waco,22
1416,https://www.inc.com/profile/acorio,Acorio,acorio.com,MA,25100000,291.1478,Business Products & Services,178,40,2013,2,Boston,Boston,218
1417,https://www.inc.com/profile/veterinary-practice-partners,Veterinary Practice Partners,vetpartners.com,PA,104000000,290.9538,Business Products & Services,1070,487,2011,4,Philadelphia,King of Prussia,1557
1418,https://www.inc.com/profile/research-america,Research America,researchamericainc.com,PA,14400000,290.6466,Advertising & Marketing,300,120,2009,5,Philadelphia,Newtown Square,420
1419,https://www.inc.com/profile/amicus-enterprises,Amicus Enterprises,http://grizly.com,CA,5900000,290.5393,Media,5,2,2014,1,San Diego,Carlsbad,7
1420,https://www.inc.com/profile/opex-analytics,Opex Analytics,opexanalytics.com,IL,14300000,290.3921,Business Products & Services,80,17,2013,2,Chicago,Evanston,97
1421,https://www.inc.com/profile/marijuana-business-daily,Marijuana Business Daily,mjbizdaily.com,CO,27500000,290.3784,Media,58,18,2011,4,Denver,Lakewood,76
1422,https://www.inc.com/profile/xtreme-park-adventures,Xtreme Park Adventures,xtremeparkadventures.com,NC,2300000,290.3408,Consumer Products & Services,40,15,2009,2,"Durham, NC",durham,55
1423,https://www.inc.com/profile/adonis-auto-group,Adonis Auto Group,adonisautogroup.com,TX,30100000,290.1139,Logistics & Transportation,70,15,2010,1,Dallas,Grand Prairie,85
1424,https://www.inc.com/profile/prescient-company,Prescient Company,prescientco.com,NC,54000000,290.0051,Construction,350,100,2012,1,Unknown,Durham,450
1425,https://www.inc.com/profile/home-pride-construction,Home Pride Construction,homeprideinc.com,CA,2500000,289.9913,Construction,21,3,2001,1,San Francisco,Pacifica,24
1426,https://www.inc.com/profile/sigma-software,SIGMA SOFTWARE,sigmasoftusa.com,TX,5000000,289.951,IT System Development,45,15,2011,1,Dallas,Dallas,60
1427,https://www.inc.com/profile/no-limit-agency,No Limit Agency,1851franchise.com,IL,2000000,289.4093,Software,9,4,2013,6,Chicago,Chicago,13
1428,https://www.inc.com/profile/p2binvestor,P2Binvestor,p2bi.com,CO,10000000,289.2561,Financial Services,31,23,2012,1,Denver,Denver,54
1429,https://www.inc.com/profile/infinite-pool-finishes,Infinite Pool Finishes,infinitepoolfinishes.com,FL,10500000,288.8484,Construction,96,26,2014,1,Unknown,Fort Myers,122
1430,https://www.inc.com/profile/cofc-logistics,COFC Logistics,cofclogistics.com,OH,72200000,288.7411,Logistics & Transportation,9,5,2012,1,Unknown,Holland,14
1431,https://www.inc.com/profile/blackstone-medical-services,Blackstone Medical Services,blackstonemedicalservices.com,FL,6700000,288.547,Health,82,32,2010,3,Tampa,Tampa,114
1432,https://www.inc.com/profile/formulafolio-investments,FormulaFolio Investments,formulafolios.com,MI,44200000,288.47,Financial Services,98,35,2011,5,Unknown,Grand Rapids,133
1433,https://www.inc.com/profile/advance-your-reach,Advance Your Reach,advanceyourreach.com,CO,4800000,288.2373,Business Products & Services,10,3,2006,1,Unknown,Colorado Springs,13
1434,https://www.inc.com/profile/fundrise,Fundrise,fundrise.com,DC,20800000,288.2353,Financial Services,76,24,2010,2,"Washington, DC",Washington,100
1435,https://www.inc.com/profile/3-gis,3-GIS,3-gis.com,AL,21200000,287.9538,Engineering,110,43,2006,5,Unknown,Decatur,153
1436,https://www.inc.com/profile/digitalspec,Digitalspec,http://digitalspec.net,VA,16200000,287.893,Government Services,105,20,2005,5,"Washington, DC",Fairfax,125
1437,https://www.inc.com/profile/leaffilter-gutter-protection,LeafFilter Gutter Protection,leaffilter.com,OH,340400000,287.2273,Consumer Products & Services,1044,251,2005,8,Unknown,Hudson,1295
1438,https://www.inc.com/profile/united-wall-systems,United Wall Systems,unitedwalls.com,FL,28900000,287.152,Construction,72,40,2008,3,"Orlando, FL",Winter Garden,112
1439,https://www.inc.com/profile/sleeping-giant-brewing-company,Sleeping Giant Brewing Company,sleepinggiantbrewing.com,CO,5300000,286.8987,Food & Beverage,25,13,2014,1,Denver,Denver,38
1440,https://www.inc.com/profile/anemoi,Anemoi,http://anemoiservices.com,WV,2400000,286.7228,Energy,27,12,2014,1,Unknown,Morgantown,39
1441,https://www.inc.com/profile/center-for-social-dynamics,Center for Social Dynamics,csdautismservices.com,CA,22000000,286.6931,Health,575,139,2012,3,San Francisco,Alameda,714
1442,https://www.inc.com/profile/yamibuy,Yamibuy,yamibuy.com,CA,82200000,286.3093,Retail,250,90,2013,3,Los Angeles,Brea,340
1443,https://www.inc.com/profile/ordermygear,OrderMyGear,ordermygear.com,TX,17800000,286.2805,Software,86,26,2008,4,Dallas,Dallas,112
1444,https://www.inc.com/profile/criterion-systems,Criterion Systems,criterion-sys.com,VA,89000000,286.1744,Government Services,376,155,2005,5,"Washington, DC",Vienna,531
1445,https://www.inc.com/profile/optimum-rv,Optimum RV,optimumrv.com,FL,55600000,285.8896,Retail,100,20,2006,4,Unknown,Ocala,120
1446,https://www.inc.com/profile/thompson-healthcare-sports-medicine,Thompson Healthcare & Sports Medicine,thsm.info,NJ,35600000,285.8078,Health,155,40,2004,1,New York City,Forked River,195
1447,https://www.inc.com/profile/proplogix,PropLogix,proplogix.com,FL,19800000,285.6447,Real Estate,150,51,2010,3,"Sarasota-Bradenton-Venice, FL",Sarasota,201
1448,https://www.inc.com/profile/e-network-supply,E Network Supply,enetworksupply.com,IL,3900000,285.6183,Telecommunications,8,3,2014,1,Chicago,skokie,11
1449,https://www.inc.com/profile/riva-solutions,Riva Solutions,rivasolutionsinc.com,VA,13400000,285.3547,Government Services,400,80,2009,1,"Washington, DC",McLean,480
1450,https://www.inc.com/profile/the-hilb-group,The Hilb Group,hilbgroup.com,VA,141700000,285.0119,Insurance,717,174,2009,5,"Richmond, VA",Richmond,891
1451,https://www.inc.com/profile/perceptive-recruiting,Perceptive Recruiting,perceptiverecruiting.com,SC,3000000,284.8984,Business Products & Services,5,2,2014,1,Unknown,Travelers Rest,7
1452,https://www.inc.com/profile/ui-global-brands,UI Global Brands,uiglobalbrands.com,TX,2800000,284.7077,Consumer Products & Services,7,1,2009,1,Dallas,Frisco,8
1453,https://www.inc.com/profile/house-advantage,House Advantage,houseadv.com,NV,27000000,284.6191,Software,74,59,2004,1,"Las Vegas, NV",Las Vegas,133
1454,https://www.inc.com/profile/primal-life-organics,Primal Life Organics,primallifeorganics.com,OH,4700000,284.5567,Consumer Products & Services,38,12,2012,3,Unknown,Copley,50
1455,https://www.inc.com/profile/living-wellness-partners,Living Wellness Partners,buddhateas.com,CA,3400000,284.4806,Food & Beverage,33,15,2013,1,San Diego,Carlsbad,48
1456,https://www.inc.com/profile/millhouse-logistics,Millhouse Logistics,millhouse.com,NC,80000000,284.4409,Logistics & Transportation,140,49,2009,2,"Asheville, NC",Fletcher,189
1457,https://www.inc.com/profile/agamerica-lending,AgAmerica Lending,agamerica.com,FL,29200000,284.2977,Financial Services,55,18,2014,1,Unknown,Lakeland,73
1458,https://www.inc.com/profile/medbridge,MedBridge,medbridgeeducation.com,WA,16200000,284.0595,Health,116,17,2011,3,Seattle,Seattle,133
1459,https://www.inc.com/profile/autosource-motors,AutoSource Motors,myautosource.com,UT,195800000,283.8958,Business Products & Services,285,42,2003,1,"Ogden-Clearfield, UT",Woods Cross,327
1460,https://www.inc.com/profile/fulcrum-construction-group,Fulcrum Construction Group,fulcrumgroup.com,AL,48400000,283.7179,Construction,40,11,2012,3,Unknown,DAPHNE,51
1461,https://www.inc.com/profile/red-river,Red River,redriver.team,WY,14900000,283.404,Manufacturing,71,17,2013,1,Unknown,Gillette,88
1462,https://www.inc.com/profile/bluedog,BlueDog,yourbluedog.com,FL,4000000,283.3118,Business Products & Services,42,19,2010,3,Unknown,Vero Beach,61
1463,https://www.inc.com/profile/kontrol,Kontrol,kontrolpayables.com,MD,4600000,282.6742,Financial Services,12,3,2012,2,Unknown,Severna Park,15
1464,https://www.inc.com/profile/dockyard,DockYard,http://dockyard.com,MA,12200000,282.5791,Software,70,24,2010,1,Boston,Hingham,94
1465,https://www.inc.com/profile/midpoint-technology-group,MidPoint Technology Group,midpointtechnologygroup.com,MD,12200000,282.2786,IT Management,55,15,2014,2,Baltimore,Hanover,70
1466,https://www.inc.com/profile/porcaro-stolarek-mete-partners,Porcaro Stolarek Mete Partners,psmpartners.com,IL,8300000,282.1103,IT Management,65,10,2014,1,Chicago,Chicago,75
1467,https://www.inc.com/profile/national-energy-light,National Energy & Light,nelcompany.com,NH,36200000,282.0311,Manufacturing,37,12,2013,2,Unknown,Nashua,49
1468,https://www.inc.com/profile/ciscom-solutions,CisCom Solutions,ciscom.com,KY,8600000,281.9206,IT Management,29,12,1996,2,"Louisville/Jefferson County, KY-IN",Louisville,41
1469,https://www.inc.com/profile/biotrans,Biotrans,biotrans-usa.com,MA,13500000,281.8999,Logistics & Transportation,130,40,2010,4,Boston,Brockton,170
1470,https://www.inc.com/profile/jb-office,JB Office,shopjboffice.com,CA,2900000,281.8377,Business Products & Services,10,6,2012,2,Los Angeles,Chatsworth,16
1471,https://www.inc.com/profile/jcw-search,JCW Search,jcwresourcing.com,NY,5900000,281.2014,Human Resources,27,19,2011,2,New York City,New York,46
1472,https://www.inc.com/profile/star-lab-corp,Star Lab Corp.,starlab.io,DC,5700000,281.1928,Software,20,9,2014,1,"Washington, DC",Washington,29
1473,https://www.inc.com/profile/expero,Expero,experoinc.com,TX,8500000,280.6777,Software,40,12,2001,4,Houston,Houston,52
1474,https://www.inc.com/profile/endurance,Endurance,endurancewarranty.com,IL,486500000,280.2492,Consumer Products & Services,661,325,2006,5,Chicago,Northbrook,986
1475,https://www.inc.com/profile/Spiceology,Spiceology,http://spiceology.com,WA,3200000,279.7128,Food & Beverage,49,10,2013,1,Unknown,Spokane,59
1476,https://www.inc.com/profile/chewse,Chewse,chewse.com,CA,13900000,279.6846,Food & Beverage,250,35,2011,1,San Francisco,San Francisco,285
1477,https://www.inc.com/profile/apex-appraisal-service,Apex Appraisal Service,apexone.com,CA,29800000,279.5078,Real Estate,71,30,2009,2,"Sacramento, CA",Roseville,101
1478,https://www.inc.com/profile/boomset,Boomset,boomset.com,NY,4000000,279.3436,Software,32,12,2011,1,New York City,New York,44
1479,https://www.inc.com/profile/shipsound,ShipSound,shipsound.com,DE,3600000,279.0461,Retail,7,2,2006,2,Philadelphia,Wilmington,9
1480,https://www.inc.com/profile/infinite-leap,Infinite Leap,infiniteleap.net,ND,6200000,278.7341,IT Management,31,10,2011,1,Unknown,Fargo,41
1481,https://www.inc.com/profile/douglas-realty,Douglas Realty,godouglasrealty.com,MD,12400000,278.706,Real Estate,400,202,2008,4,Baltimore,Pasadena,602
1482,https://www.inc.com/profile/b3-medical,B3 Medical,b3medical.com,FL,6400000,278.2223,Health,45,30,2015,1,Tampa,Lutz,75
1483,https://www.inc.com/profile/self-publishing-school,Self-Publishing School,self-publishingschool.com,CA,4400000,277.5732,Education,17,5,2014,2,Unknown,Venice,22
1484,https://www.inc.com/profile/torrent-consulting,Torrent Consulting,torrentconsulting.com,NC,10300000,277.3868,Business Products & Services,81,41,2012,4,Charlotte,Charlotte,122
1485,https://www.inc.com/profile/atlas-medstaff,Atlas MedStaff,atlasmedstaff.com,NE,88000000,277.3546,Health,750,250,2012,4,"Omaha-Council Bluffs, NE-IA",Omaha,1000
1486,https://www.inc.com/profile/jb-software-and-consulting,JB Software and Consulting,jbsac.com,TX,5100000,277.3421,Business Products & Services,60,6,2004,1,Dallas,Allen,66
1487,https://www.inc.com/profile/atredis-partners,Atredis Partners,atredis.com,MO,5600000,277.2509,IT Management,27,8,2013,2,"St. Louis, MO-IL",Saint Louis,35
1488,https://www.inc.com/profile/2a-consulting,2A Consulting,2a.consulting,WA,6300000,277.1844,Advertising & Marketing,36,17,2010,3,Seattle,Seattle,53
1489,https://www.inc.com/profile/flux7,Flux7,flux7.com,TX,4900000,277.1657,IT System Development,59,12,2013,2,Austin,Austin,71
